Cuenta;Centro Costo;Id Cuenta;Concepto;Fecha;Detalle;Nombre;Importe;Debe;Haber;Asiento;Operacion;Subcta;CUIT;TIPO_COMP;LETRA;TERMINAL;NUMERO;SUBCTA
RETENCIONES INGRESOS BRUTOS;0;38;VISA GALICIA-A-1-88182163;01/03/2019;FAC - 1 - A - 88182163;VISA GALICIA-A-1-88182163;224,58;224,58;0;205034;FACPRO;;30-50000173-5;DEV;;0;19334;2733
RETENCIONES INGRESOS BRUTOS;0;38;;01/03/2019;LOS CINCO SA         - 25/02/2019 - 1627;;1611,64;1611,64;0;204662;RECIBO;;30-58933613-1;REC;;1;51086;2011
RETENCIONES INGRESOS BRUTOS;0;38;;01/03/2019;CERAMICA MARCOS PAZ  - 27/02/2019 - 6332;;477,12;477,12;0;204651;RECIBO;;30-52340824-7;REC;;1;51080;2065
RETENCIONES INGRESOS BRUTOS;0;38;TRANSFERNCIA EESS - 01-03-2019 - CHEQUE;01/03/2019;RETENCION ING.BRUTOS - 2431 - 27.02.2019;;113,35;113,35;0;204672;TRANS;;;TRANS;;1;21762;
RETENCIONES INGRESOS BRUTOS;0;38;;06/03/2019;PROYECTOS METALURGIC - 01/03/2019 - 174;;472,29;472,29;0;204735;RECIBO;;30-70772880-5;REC;;1;51111;9066
RETENCIONES INGRESOS BRUTOS;0;38;;07/03/2019;LA ASTURIANA S.R.L   - 01/03/2019 - 4871;;4779,24;4779,24;0;204787;RECIBO;;30-70872456-0;REC;;1;51134;3067
RETENCIONES INGRESOS BRUTOS;0;38;;08/03/2019;ACHERAL S.A. - 21/02/2019 - 8242;;804,88;804,88;0;204875;RECIBO;;33-70866875-9;REC;;1;51151;9133
RETENCIONES INGRESOS BRUTOS;0;38;TRANSFERNCIA EESS - 07-03-2019 - CHEQUES - DIEGO ZAMORA E HIJOS;08/03/2019;RETENCION ING.BRUTOS - 9522 - 05.03.2019;;12319,35;12319,35;0;204863;TRANS;;;TRANS;;1;21785;
RETENCIONES INGRESOS BRUTOS;0;38;TRANAFERENCIA EESS - 09-03-2019 - BANCO;09/03/2019;RETENCION ING.BRUTOS - 4921 - 28.02.2019;;3115,01;3115,01;0;204988;TRANS;;;TRANS;;1;21808;
RETENCIONES INGRESOS BRUTOS;0;38;;11/03/2019;DEL TEJAR SA - 08/03/2019 - 76974;;13528,52;13528,52;0;204995;RECIBO;;33-55565228-9;REC;;1;51170;11166
RETENCIONES INGRESOS BRUTOS;0;38;;11/03/2019;DEL TEJAR SA - 07/03/2019 - 75778;;25858,17;25858,17;0;204996;RECIBO;;33-55565228-9;REC;;1;51171;11166
RETENCIONES INGRESOS BRUTOS;0;38;;12/03/2019;LOS CUATROS SOLES SR - 12/03/2019 - 1091;;2520,14;2520,14;0;205221;RECIBO;;30-67997813-2;REC;;1;51200;3023
